"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"GSS",-0.108153144939103,-0.00790484482539682,-1.72255255664637,0.0895102316595718,0.331619877006024,-5.03581746543527,"NOT"
"EMP2",0.117324399461539,-0.0509783288571429,1.72220080889545,0.0895743187451583,0.331791135595226,-5.03639221099819,"NOT"
"PARP16",0.138119669894551,0.0187729161793651,1.72179839818811,0.0896476827360699,0.331996681520182,-5.0370496067132,"NOT"
"CTPS",-0.0918197007025641,-0.00699360516825397,-1.72165869416984,0.0896731639082526,0.332024854048176,-5.03727780044865,"NOT"
"PFAS",-0.089059850224359,0.00124679089087301,-1.72137290627535,0.0897253084681117,0.332151719829343,-5.0377445560829,"NOT"
"INPP5E",-0.134659914660256,0.047258587031746,-1.72126164431509,0.0897456159557507,0.332160701732222,-5.03792625261665,"NOT"
"NKIRAS1",-0.0845790959717949,-0.010223825315873,-1.72014737058075,0.0899492014238826,0.332847881603594,-5.03974532677601,"NOT"
"FLJ22795",-0.145435512075,-0.0397108794333333,-1.71983786860741,0.0900058169397928,0.332899324971423,-5.04025040374132,"NOT"
"UBE2D1",0.235852789326923,0.0697170742619048,1.71982789887617,0.0900076411358782,0.332899324971423,-5.04026667198606,"NOT"
"TACSTD2",0.205957418782051,0.0415384138888889,1.71977748309605,0.0900168663507459,0.332899324971423,-5.04034893730096,"NOT"
"ARHGAP10",-0.0917033067589744,0.0128928447920635,-1.71802968097545,0.0903371651015124,0.334017352493172,-5.04319952749453,"NOT"
"OBFC2B",-0.118749701157692,0.00945655565238095,-1.71776602203365,0.0903855639819258,0.334102676425778,-5.04362931373092,"NOT"
"CDC34",0.302606256215705,0.065795031331746,1.71770802604798,0.0903962129476722,0.334102676425778,-5.04372384396506,"NOT"
"RNF4",-0.0767581166576923,0.0125516913238095,-1.71644910651927,0.0906276245650476,0.334891337561234,-5.0457750931665,"NOT"
"RG9MTD3",-0.108459903101923,-0.0293102793190476,-1.71609126447919,0.0906934910758251,0.335068076814743,-5.04635790007888,"NOT"
"SETD8",0.0870081382711539,0.0128630658761905,1.71590077749309,0.0907285692793735,0.335099195197178,-5.04666809533831,"NOT"
"RSU1",0.150831440909615,0.023491213847619,1.71582616575905,0.0907423120797962,0.335099195197178,-5.04678958694664,"NOT"
"PPCS",0.311177887121795,0.0116659412063492,1.71575168733441,0.090756032032569,0.335099195197178,-5.04691085666366,"NOT"
"ATF5",-0.139398542798077,0.00605351252380952,-1.71539967758177,0.0908209001622929,0.335251951141071,-5.04748395240697,"NOT"
